file,difficulty,dot_count,pattern_rows,occupied_cells
medium_10.png,medium,15,X.XXX..X.X / XX..X.X..X / .X.XX...X.,R1C1 R1C3 R1C4 R1C5 R1C8 R1C10 R2C1 R2C2 R2C5 R2C7 R2C10 R3C2 R3C4 R3C5 R3C9
hard_01.png,hard,18,XXX.X.XX.X / .XX.XXX..X / X.XX..X.X.,R1C1 R1C2 R1C3 R1C5 R1C7 R1C8 R1C10 R2C2 R2C3 R2C5 R2C6 R2C7 R2C10 R3C1 R3C3 R3C4 R3C7 R3C9
hard_02.png,hard,19,XX.XXX.X.X / X.XX..XXX. / .XXX.X..XX,R1C1 R1C2 R1C4 R1C5 R1C6 R1C8 R1C10 R2C1 R2C3 R2C4 R2C7 R2C8 R2C9 R3C2 R3C3 R3C4 R3C6 R3C9 R3C10
hard_03.png,hard,19,XXX.XX.X.X / .X.XXX.XX. / XX.X..XXX.,R1C1 R1C2 R1C3 R1C5 R1C6 R1C8 R1C10 R2C2 R2C4 R2C5 R2C6 R2C8 R2C9 R3C1 R3C2 R3C4 R3C7 R3C8 R3C9
hard_04.png,hard,20,X.XXXX.XX. / XX.X.XXX.X / .XXX.X.X.X,R1C1 R1C3 R1C4 R1C5 R1C6 R1C8 R1C9 R2C1 R2C2 R2C4 R2C6 R2C7 R2C8 R2C10 R3C2 R3C3 R3C4 R3C6 R3C8 R3C10
hard_05.png,hard,20,XXX.X.XXX. / X.XXX.X.XX / .XX.XX.XX.,R1C1 R1C2 R1C3 R1C5 R1C7 R1C8 R1C9 R2C1 R2C3 R2C4 R2C5 R2C7 R2C9 R2C10 R3C2 R3C3 R3C5 R3C6 R3C8 R3C9
hard_06.png,hard,21,XX.XXXX.XX / XXX.X.XX.X / .XX.XXX.X.,R1C1 R1C2 R1C4 R1C5 R1C6 R1C7 R1C9 R1C10 R2C1 R2C2 R2C3 R2C5 R2C7 R2C8 R2C10 R3C2 R3C3 R3C5 R3C6 R3C7 R3C9
hard_07.png,hard,22,XXXX.XX.XX / X.XX.XXXX. / XX.XXX.X.X,R1C1 R1C2 R1C3 R1C4 R1C6 R1C7 R1C9 R1C10 R2C1 R2C3 R2C4 R2C6 R2C7 R2C8 R2C9 R3C1 R3C2 R3C4 R3C5 R3C6 R3C8 R3C10
hard_08.png,hard,22,XXX.XXXX.X / XX.XXX.XX. / .XXXX.X.XX,R1C1 R1C2 R1C3 R1C5 R1C6 R1C7 R1C8 R1C10 R2C1 R2C2 R2C4 R2C5 R2C6 R2C8 R2C9 R3C2 R3C3 R3C4 R3C5 R3C7 R3C9 R3C10
hard_09.png,hard,22,XXXX.XXX.X / XX.XX.XXX. / XXX.X.XX.X,R1C1 R1C2 R1C3 R1C4 R1C6 R1C7 R1C8 R1C10 R2C1 R2C2 R2C4 R2C5 R2C7 R2C8 R2C9 R3C1 R3C2 R3C3 R3C5 R3C7 R3C8 R3C10
hard_10.png,hard,23,XXXX.XXXX. / XX.XXXX.XX / .XXXX.XXX.,R1C1 R1C2 R1C3 R1C4 R1C6 R1C7 R1C8 R1C9 R2C1 R2C2 R2C4 R2C5 R2C6 R2C7 R2C9 R2C10 R3C2 R3C3 R3C4 R3C5 R3C7 R3C8 R3C9
